ID,COUNTRY,CONTINENT
1,AFGHANISTAN,ASIA
2,ALBANIA,EUROPE
3,ALGERIA,AFRICA
4,AMERICAN SAMOA,OCEANIA
5,ANDORRA,EUROPE
6,ANGOLA,AFRICA
7,ANGUILLA,NORTH AMERICA
8,ANTIGUA AND BARBUDA,NORTH AMERICA
9,ARGENTINA,SOUTH AMERICA
10,ARMENIA,ASIA
11,ARUBA,NORTH AMERICA
12,AUSTRALIA,OCEANIA
13,AUSTRIA,EUROPE
14,AZERBAIJAN,ASIA
15,BAHAMAS,NORTH AMERICA
16,BAHRAIN,ASIA
17,BANGLADESH,ASIA
18,BARBADOS,NORTH AMERICA
19,BELARUS,EUROPE
20,BELGIUM,EUROPE
21,BELIZE,NORTH AMERICA
22,BENIN,AFRICA
23,BERMUDA,NORTH AMERICA
24,BHUTAN,ASIA
25,"BOLIVIA, PLURINATIONAL STATE OF",SOUTH AMERICA
26,BONAIRE,NORTH AMERICA
27,BOSNIA AND HERZEGOVINA,EUROPE
28,BOTSWANA,AFRICA
29,BRAZIL,SOUTH AMERICA
30,BRITISH VIRGIN ISLANDS,NORTH AMERICA
31,BRUNEI DARUSSALAM,ASIA
32,BULGARIA,EUROPE
33,BURKINA FASO,AFRICA
34,BURUNDI,AFRICA
35,CABO VERDE,AFRICA
36,CAMBODIA,ASIA
37,CAMEROON,AFRICA
38,CANADA,NORTH AMERICA
39,CAYMAN ISLANDS,NORTH AMERICA
40,CENTRAL AFRICAN REPUBLIC,AFRICA
41,CHAD,AFRICA
42,CHILE,SOUTH AMERICA
43,CHINA,ASIA
44,COLOMBIA,SOUTH AMERICA
45,COMOROS,AFRICA
46,CONGO,AFRICA
47,"CONGO, DEMOCRATIC REPUBLIC OF THE",AFRICA
48,COOK ISLANDS,OCEANIA
49,COSTA RICA,NORTH AMERICA
50,COTE D'IVOIRE,AFRICA
51,CROATIA,EUROPE
52,CUBA,NORTH AMERICA
53,CURACAO,NORTH AMERICA
54,CYPRUS,EUROPE
55,CZECH REPUBLIC,EUROPE
56,DENMARK,EUROPE
57,DJIBOUTI,AFRICA
58,DOMINICA,NORTH AMERICA
59,DOMINICAN REPUBLIC,NORTH AMERICA
60,ECUADOR,SOUTH AMERICA
61,EGYPT,AFRICA
62,EL SALVADOR,NORTH AMERICA
63,EQUATORIAL GUINEA,AFRICA
64,ERITREA,AFRICA
65,ESTONIA,EUROPE
